ans,label
"-111.49549,-126.8349","-274.0,280.0"
"-99.37834,3.5008485","-274.0,280.0"
"-99.7985,-65.71507","-274.0,280.0"
"-114.06741,-14.196814","-274.0,280.0"
"79.62471,175.38689","-274.0,280.0"
"345.76883,220.46706","-274.0,280.0"
"89.13348,139.74736","-274.0,280.0"
"-41.315517,37.471695","-274.0,280.0"
"24.738422,91.21773","-274.0,280.0"
"130.30684,58.648613","-274.0,280.0"
"205.04475,-321.93948","-274.0,280.0"
"-201.0122,22.867605","263.5,280.0"
"142.7861,116.685776","263.5,280.0"
"173.75212,-239.31049","263.5,280.0"
"-135.53928,-43.263237","263.5,280.0"
"-114.99143,83.7769","263.5,280.0"
"78.7585,177.61986","263.5,280.0"
"79.74559,60.04879","263.5,280.0"
"-227.56194,-149.98143","263.5,280.0"
"215.86359,220.65288","263.5,280.0"
"-202.15402,-99.33656","263.5,280.0"
"-57.30155,59.846947","263.5,280.0"
"54.81696,139.55533","263.5,280.0"
"-218.06763,17.330042","263.5,280.0"
"154.11777,-56.69143","263.5,280.0"
"185.81091,212.99522","263.5,280.0"
"11.087345,179.87088","263.5,280.0"
"-222.49765,-121.993805","263.5,280.0"
"-103.495544,-41.20405","-274.0,0.0"
"-199.13411,40.0698","-274.0,0.0"
"-148.16708,54.05126","-274.0,0.0"
"84.780304,105.63924","-274.0,0.0"
"-281.8058,-41.378616","-274.0,0.0"
"-274.25418,-1.242144","-274.0,0.0"
"-132.16219,38.29806","-274.0,0.0"
"-197.53535,69.26733","-274.0,0.0"
"-63.83785,33.271088","-274.0,0.0"
"-115.92012,70.46494","-274.0,0.0"
"-214.52164,-72.78547","263.5,0.0"
"-185.58458,-26.038038","263.5,0.0"
"-101.721794,-37.930843","263.5,0.0"
"-57.97923,68.11152","263.5,0.0"
"-216.20703,38.02527","263.5,0.0"
"-157.46231,74.63909","263.5,0.0"
"152.09203,165.50931","263.5,0.0"
"-338.65735,-167.21306","263.5,0.0"
"-172.00513,-222.16008","263.5,0.0"
"-47.328053,-112.80243","263.5,0.0"
"-137.48929,52.407135","263.5,0.0"
"-103.303345,92.03597","263.5,0.0"
"236.26205,140.32071","263.5,0.0"
"-177.25632,-98.63687","263.5,0.0"
"-43.504772,24.560513","-274.0,-317.0"
"49.69424,166.7005","-274.0,-317.0"
"-298.4438,-40.48011","-274.0,-317.0"
"-97.656944,-18.233139","-274.0,-317.0"
"-132.97066,-109.11047","-274.0,-317.0"
"-2.2934687,97.05466","-274.0,-317.0"
