ans,label
"165.38913,147.72226","-274.0,280.0"
"-194.53444,282.95706","-274.0,280.0"
"-218.49551,270.6272","-274.0,280.0"
"-288.49045,288.3875","-274.0,280.0"
"-297.01245,295.37866","-274.0,280.0"
"-261.38013,203.73727","-274.0,280.0"
"-175.2731,215.42072","-274.0,280.0"
"5.5536795,-21.955273","-274.0,280.0"
"-186.42242,215.63693","-274.0,280.0"
"-283.3283,328.375","-274.0,280.0"
"-288.26276,304.89014","-274.0,280.0"
"245.12157,141.51291","263.5,280.0"
"259.92624,220.18704","263.5,280.0"
"262.31805,273.13724","263.5,280.0"
"270.13513,294.65158","263.5,280.0"
"295.43817,297.3738","263.5,280.0"
"269.5087,281.27335","263.5,280.0"
"267.75208,259.7528","263.5,280.0"
"262.6816,147.82098","263.5,280.0"
"267.74304,222.58636","263.5,280.0"
"317.10846,199.83655","263.5,280.0"
"281.4544,273.357","263.5,280.0"
"283.45065,195.25479","263.5,280.0"
"264.2006,277.22037","263.5,280.0"
"286.4673,260.78427","263.5,280.0"
"287.73325,254.6213","263.5,280.0"
"272.95013,206.02292","263.5,280.0"
"308.11118,223.75317","263.5,280.0"
"-282.0021,-11.3546715","-274.0,0.0"
"-281.9938,-11.335064","-274.0,0.0"
"-281.99356,-11.358307","-274.0,0.0"
"-281.97684,-11.336002","-274.0,0.0"
"-281.98822,-11.343338","-274.0,0.0"
"-281.9816,-11.331608","-274.0,0.0"
"-281.97598,-11.339073","-274.0,0.0"
"-281.9778,-11.362827","-274.0,0.0"
"-281.91672,-11.323078","-274.0,0.0"
"-234.31865,-39.792458","-274.0,0.0"
"-247.54688,29.14378","263.5,0.0"
"-292.83054,-213.17957","263.5,0.0"
"-211.71005,-176.17628","263.5,0.0"
"-291.69296,-156.07632","263.5,0.0"
"-122.16296,-176.56685","263.5,0.0"
"-158.56857,-52.715252","263.5,0.0"
"-87.85203,-221.5329","263.5,0.0"
"-208.99283,30.749905","263.5,0.0"
"-181.74998,-131.93631","263.5,0.0"
"-221.80164,-301.4422","263.5,0.0"
"-202.57355,-251.63155","263.5,0.0"
"-199.15958,-220.82549","263.5,0.0"
"-268.80774,8.00523","263.5,0.0"
"-166.11325,173.66193","263.5,0.0"
"-222.57802,-301.28436","-274.0,-317.0"
