ans,label
"-210.0455,-184.18712","-274.0,280.0"
"-49.379005,44.18798","-274.0,280.0"
"46.621468,-76.408676","-274.0,280.0"
"-48.663536,-44.307137","-274.0,280.0"
"-14.32865,155.62794","-274.0,280.0"
"169.3809,84.39588","-274.0,280.0"
"-6.244777,181.48488","-274.0,280.0"
"-8.542501,-59.117836","-274.0,280.0"
"7.2874303,0.81249356","-274.0,280.0"
"218.30516,-39.77284","-274.0,280.0"
"134.4146,-298.9556","-274.0,280.0"
"-47.610054,222.23528","263.5,280.0"
"115.09813,9.919067","263.5,280.0"
"282.45667,-188.1057","263.5,280.0"
"-157.29501,131.34859","263.5,280.0"
"-210.73705,90.15921","263.5,280.0"
"-128.25526,203.65013","263.5,280.0"
"71.15148,69.93416","263.5,280.0"
"-11.431192,2.5879567","263.5,280.0"
"-32.995728,-49.924564","263.5,280.0"
"-130.11765,-30.322847","263.5,280.0"
"-6.185018,-25.825714","263.5,280.0"
"22.964788,70.72949","263.5,280.0"
"-63.904865,145.82706","263.5,280.0"
"73.004875,135.81909","263.5,280.0"
"-53.59154,198.74602","263.5,280.0"
"-146.0349,87.28313","263.5,280.0"
"-104.48725,-135.21718","263.5,280.0"
"5.2447104,84.74516","-274.0,0.0"
"-182.16296,94.795876","-274.0,0.0"
"-96.266594,43.620056","-274.0,0.0"
"6.1573167,39.21056","-274.0,0.0"
"-52.575897,57.134327","-274.0,0.0"
"-117.78619,25.478403","-274.0,0.0"
"-119.02961,25.813135","-274.0,0.0"
"-204.32951,82.22406","-274.0,0.0"
"-46.73732,-66.22695","-274.0,0.0"
"-196.50778,9.565805","-274.0,0.0"
"-92.47571,0.33181408","263.5,0.0"
"-115.47948,-24.814476","263.5,0.0"
"40.73654,-49.391594","263.5,0.0"
"-110.3414,72.60136","263.5,0.0"
"-122.36609,107.98442","263.5,0.0"
"-259.5807,104.89849","263.5,0.0"
"61.1588,-52.93709","263.5,0.0"
"-175.94554,-138.67958","263.5,0.0"
"-50.39456,-189.26036","263.5,0.0"
"-30.979422,-99.07066","263.5,0.0"
"-122.02295,-18.493164","263.5,0.0"
"-238.52467,56.193985","263.5,0.0"
"-1.2389238,-50.720192","263.5,0.0"
"-143.19562,-14.692709","263.5,0.0"
"-16.257906,-152.43324","-274.0,-317.0"
"-92.329834,-155.14964","-274.0,-317.0"
"-132.85213,78.071686","-274.0,-317.0"
"-90.54566,1.1776698","-274.0,-317.0"
"10.3683,48.81016","-274.0,-317.0"
"-147.58208,42.708385","-274.0,-317.0"
"32.136337,66.625275","-274.0,-317.0"
"49.977524,-197.57028","-274.0,-317.0"
"161.22374,-332.31335","-274.0,-317.0"
"-217.15858,15.890436","-274.0,-317.0"
"-55.07407,125.55282","-274.0,-317.0"
"-40.323875,75.27684","-274.0,-317.0"
"-17.464544,127.98265","-274.0,-317.0"
"-76.241035,-117.81574","-274.0,-317.0"
"-151.93147,92.0325","-274.0,-317.0"
"35.162327,98.15023","-274.0,-317.0"
"-74.84026,-21.833044","-274.0,-317.0"
"93.290306,-118.67012","-274.0,-317.0"
"189.03578,31.46993","-274.0,-317.0"
"-47.54164,115.08705","-274.0,-317.0"
"63.689636,-71.39164","-274.0,-317.0"
"30.318682,68.822586","-274.0,-317.0"
"-191.74478,120.6175","-274.0,-317.0"
"81.13495,-137.27417","-274.0,-317.0"
"-160.81767,129.8889","-274.0,-317.0"
"-111.41749,136.3517","-274.0,-317.0"
"-78.27599,157.45158","-274.0,-317.0"
"-75.30622,98.58825","-274.0,-317.0"
"-227.71458,89.91954","-274.0,-317.0"
