ans,label
"188.70206,97.04286","-274.0,280.0"
"-185.03915,251.71434","-274.0,280.0"
"-245.60582,274.31265","-274.0,280.0"
"-198.27945,203.45792","-274.0,280.0"
"-294.43066,299.89825","-274.0,280.0"
"-167.79167,152.05779","-274.0,280.0"
"-138.15067,129.68745","-274.0,280.0"
"106.54849,113.97643","-274.0,280.0"
"-9.614104,239.18434","-274.0,280.0"
"-201.28648,186.85634","-274.0,280.0"
"-96.42114,248.04259","-274.0,280.0"
"236.10185,215.77376","263.5,280.0"
"228.09619,60.147095","263.5,280.0"
"264.2868,219.19603","263.5,280.0"
"243.47284,308.09555","263.5,280.0"
"259.46008,235.10509","263.5,280.0"
"281.88986,175.07167","263.5,280.0"
"269.92017,243.86183","263.5,280.0"
"241.14789,72.57349","263.5,280.0"
"248.42041,97.630516","263.5,280.0"
"255.4596,-126.6811","263.5,280.0"
"272.1734,158.04274","263.5,280.0"
"267.22946,-73.84171","263.5,280.0"
"252.21152,200.16432","263.5,280.0"
"311.2026,29.277903","263.5,280.0"
"259.72812,116.52326","263.5,280.0"
"266.52795,4.5312743","263.5,280.0"
"295.97775,50.226036","263.5,280.0"
"-275.7338,-15.220633","-274.0,0.0"
"-275.73376,-15.220663","-274.0,0.0"
"-275.73376,-15.220694","-274.0,0.0"
"-275.73376,-15.220434","-274.0,0.0"
"-275.7337,-15.220343","-274.0,0.0"
"-275.73383,-15.220526","-274.0,0.0"
"-275.7337,-15.220312","-274.0,0.0"
"-275.73373,-15.220129","-274.0,0.0"
"-275.73328,-15.218618","-274.0,0.0"
"-274.01593,-13.776693","-274.0,0.0"
"-174.55469,27.597605","263.5,0.0"
"-166.16847,-79.46863","263.5,0.0"
"-147.52194,40.12574","263.5,0.0"
"-247.8349,-119.4705","263.5,0.0"
"-138.80772,-118.28083","263.5,0.0"
"-118.88715,58.64425","263.5,0.0"
"-47.445732,-124.6221","263.5,0.0"
"-208.81113,129.28157","263.5,0.0"
"-197.00388,-11.981337","263.5,0.0"
"-293.53046,-335.079","263.5,0.0"
"-176.89014,-143.5757","263.5,0.0"
"-76.91086,-24.72497","263.5,0.0"
"-216.43274,63.429764","263.5,0.0"
"-184.97131,248.14705","263.5,0.0"
"-282.59662,-346.86743","-274.0,-317.0"
"-264.85336,-323.26758","-274.0,-317.0"
"-253.35504,-314.86685","-274.0,-317.0"
"-148.4712,-276.9835","-274.0,-317.0"
"-249.74423,-274.87753","-274.0,-317.0"
"-306.7865,-352.95972","-274.0,-317.0"
"-241.35913,-314.1487","-274.0,-317.0"
"-305.19986,-336.75516","-274.0,-317.0"
"-280.1558,-327.40164","-274.0,-317.0"
"-100.32768,-179.16837","-274.0,-317.0"
"-219.31303,-283.00363","-274.0,-317.0"
"-295.30246,-354.84012","-274.0,-317.0"
"-266.29935,-326.32907","-274.0,-317.0"
"-279.66574,-337.88913","-274.0,-317.0"
"-251.57315,-299.85852","-274.0,-317.0"
"-282.56946,-304.71518","-274.0,-317.0"
"-245.29398,-141.32945","-274.0,-317.0"
"-275.69003,-330.56897","-274.0,-317.0"
"-224.96213,-283.37192","-274.0,-317.0"
"-196.83826,-213.31804","-274.0,-317.0"
"-273.00055,-295.56598","-274.0,-317.0"
"-127.91607,-194.88483","-274.0,-317.0"
"-213.87154,-280.28848","-274.0,-317.0"
"-302.37885,-349.26767","-274.0,-317.0"
"-238.27896,-280.91687","-274.0,-317.0"
"-282.9362,-310.18906","-274.0,-317.0"
"-247.60289,-335.31787","-274.0,-317.0"
"-198.92041,-332.60422","-274.0,-317.0"
"-111.56647,-187.41978","-274.0,-317.0"
"-226.6927,-274.60696","-274.0,-317.0"
"-237.86021,-299.97202","-274.0,-317.0"
"-265.50412,-319.0086","-274.0,-317.0"
"-282.95502,-331.66382","-274.0,-317.0"
"-284.96872,-328.7086","-274.0,-317.0"
"-221.0813,-385.6605","-274.0,-317.0"
"-236.0869,-296.44897","-274.0,-317.0"
"-244.26729,-344.03018","-274.0,-317.0"
"-269.62454,-351.20486","-274.0,-317.0"
"274.97424,-318.797","263.5,-317.0"
"283.541,-347.7922","263.5,-317.0"
"263.7725,-308.63278","263.5,-317.0"
"276.69882,-236.29576","263.5,-317.0"
"237.05925,-304.46695","263.5,-317.0"
"256.7473,-277.51657","263.5,-317.0"
"289.76407,-238.8891","263.5,-317.0"
"243.68219,-204.84264","263.5,-317.0"
"218.43263,-288.0813","263.5,-317.0"
"253.86852,-307.3151","263.5,-317.0"
"233.1424,-277.69168","263.5,-317.0"
"199.7908,-286.0777","263.5,-317.0"
"277.47498,-336.69894","263.5,-317.0"
"276.60773,-319.13376","263.5,-317.0"
"310.7488,-154.32912","263.5,-317.0"
"262.74237,-93.34753","263.5,-317.0"
"258.94952,-294.10983","263.5,-317.0"
"277.44873,-340.78555","263.5,-317.0"
"234.7665,-285.8059","263.5,-317.0"
"306.37823,-73.598305","263.5,-317.0"
"260.97025,-289.99243","263.5,-317.0"
"292.24484,-59.679466","263.5,-317.0"
"232.01904,-119.445","263.5,-317.0"
"282.19617,-348.00055","263.5,-317.0"
"290.6634,-331.89682","263.5,-317.0"
"259.39206,189.05467","263.5,-317.0"
"275.66095,14.502176","263.5,-317.0"
"268.6541,-155.35521","263.5,-317.0"
"270.22018,-287.5591","263.5,-317.0"
"268.5719,-260.17572","263.5,-317.0"
"298.5436,-202.269","263.5,-317.0"
"292.9082,-178.69272","263.5,-317.0"
"274.86713,-130.35143","263.5,-317.0"
"281.98624,-355.91153","263.5,-317.0"
"268.73813,-300.5783","263.5,-317.0"
"285.68747,-236.74129","263.5,-317.0"
"267.68555,-296.37723","263.5,-317.0"
"271.14505,-331.08804","263.5,-317.0"
"267.0592,-309.53857","263.5,-317.0"
"275.3712,-316.62836","263.5,-317.0"
"239.61879,-311.1136","263.5,-317.0"
"267.0082,-279.79672","263.5,-317.0"
"280.82748,-339.77612","263.5,-317.0"
"274.71655,-285.44882","263.5,-317.0"
"278.09875,-338.59302","263.5,-317.0"
"288.29843,-326.69437","263.5,-317.0"
"259.95654,-288.85815","263.5,-317.0"
"284.2543,-341.55862","263.5,-317.0"
"277.4702,-314.25217","263.5,-317.0"
"276.13364,-330.46548","263.5,-317.0"
"293.86102,-149.93861","263.5,-317.0"
"244.84505,-153.16048","263.5,-317.0"
"283.32285,-350.97925","263.5,-317.0"
"272.71704,-318.2927","263.5,-317.0"
"315.03247,10.686426","263.5,-317.0"
