ans,label
"-87.59045910552231,174.75727278389968","-274.0,280.0"
"221.9439389696454,15.572208067620522","-274.0,280.0"
"221.9439389696454,15.572208067620522","-274.0,280.0"
"258.66401120681866,1.4040400795776762","-274.0,280.0"
"250.13512549470124,5.463703698052996","-274.0,280.0"
"255.04808977258062,3.375837144290017","-274.0,280.0"
"3.532159155248337,131.8463746267298","-274.0,280.0"
"3.532159155248337,131.8463746267298","-274.0,280.0"
"-118.70730225065381,195.00216141040437","-274.0,280.0"
"98.23349418882935,82.60605646075055","-274.0,280.0"
"-236.6648582078924,244.49099966790527","-274.0,280.0"
"250.41164149383667,5.847518193993892","-274.0,280.0"
"-262.6485524920063,268.8829766884155","-274.0,280.0"
"-252.38492264924025,266.0059639536921","-274.0,280.0"
"-252.62675157010563,265.4355399509004","-274.0,280.0"
"-254.29740763263544,265.74921264030854","-274.0,280.0"
"-252.62675157010563,265.4355399509004","-274.0,280.0"
"-252.62675157010563,265.4355399509004","-274.0,280.0"
"-252.62675157010563,265.4355399509004","-274.0,280.0"
"-253.61236733818805,263.04125114936323","-274.0,280.0"
"-242.68598193649086,252.96275735204108","-274.0,280.0"
"-242.68598193649086,252.96275735204108","-274.0,280.0"
"145.0862569482224,58.354614289193705","-274.0,280.0"
"260.78732994062193,-282.8429130681325","-274.0,280.0"
"-257.4541524890283,253.72069770826783","-274.0,280.0"
"-258.8105849123276,269.0297338902492","-274.0,280.0"
"-257.4541524890283,253.72069770826783","-274.0,280.0"
"-251.88004477354116,243.55849391641095","-274.0,280.0"
"-252.30570485200587,245.4320449118095","-274.0,280.0"
"-261.0734078640535,263.166713137176","-274.0,280.0"
"-107.08586604488664,175.7421519253403","-274.0,280.0"
"-257.4214445475809,267.8756093100674","-274.0,280.0"
"-107.08583328785608,175.74213584710378","-274.0,280.0"
"-257.4214465108089,267.8756093100674","-274.0,280.0"
"-257.72332873537835,268.7800297872127","-274.0,280.0"
"-257.4214465108089,267.8756093100674","-274.0,280.0"
"-257.79559402280574,266.6797016479104","-274.0,280.0"
"-259.1190428599093,257.67967182258144","-274.0,280.0"
"-262.9075958364938,266.890461617877","-274.0,280.0"
"-262.9075958364938,266.890461617877","-274.0,280.0"
"-253.6574178754745,246.59754485919257","-274.0,280.0"
"-261.0747088902717,263.9167429382578","-274.0,280.0"
"-253.6574178754745,246.59754485919257","-274.0,280.0"
"-257.79559402280574,266.6797016479104","-274.0,280.0"
"-261.0747088902717,263.9167429382578","-274.0,280.0"
"-259.1190428599093,257.67967182258144","-274.0,280.0"
"-253.6574178754745,246.59754485919257","-274.0,280.0"
"-253.85425860803662,255.39065453555668","-274.0,280.0"
"-260.10655794137165,266.52049498978886","-274.0,280.0"
"-257.169592678365,263.4543739658693","-274.0,280.0"
"-208.4889494504896,224.26985956831777","-274.0,280.0"
"-229.4207715943303,251.49944980893633","-274.0,280.0"
"44.857341293227364,107.79007504406036","-274.0,280.0"
"-252.38492264924025,266.0059639536921","-274.0,280.0"
"-261.0747088902717,263.9167429382578","-274.0,280.0"
"-254.12569543533755,260.7590466347756","-274.0,280.0"
"-251.88004477354116,243.55849391641095","-274.0,280.0"
"-231.20802938879933,237.90091470675543","-274.0,280.0"
"-239.38661726319697,204.14746755924716","-274.0,280.0"
"-205.65331082022385,-274.0002530487254","-274.0,280.0"
"260.8860300873448,60.293449795106426","-274.0,280.0"
"-257.4541524890283,253.72069770826783","-274.0,280.0"
"-250.77475821978442,254.40233346627792","-274.0,280.0"
"-239.45006337114683,258.8245413166951","-274.0,280.0"
"-260.10655794137165,266.52049498978886","-274.0,280.0"
"-159.4657578515762,-168.42922469356563","-274.0,280.0"
"-224.06968605774455,110.52390883571934","-274.0,280.0"
"-239.45006337114683,258.8245413166951","-274.0,280.0"
"-257.18144877164923,268.35054022673285","-274.0,280.0"
"67.6829027492513,98.07160152261349","-274.0,280.0"
"256.26696353807995,2.9779246673410853","-274.0,280.0"
"49.52847983346146,107.05409137644892","-274.0,280.0"
"37.969370062824055,113.5933569418994","-274.0,280.0"
"-252.30570485200587,245.4320449118095","-274.0,280.0"
"-256.28313919256834,264.6223510249838","-274.0,280.0"
"54.34704629890621,-20.469565883278847","-274.0,280.0"
"3.532159155248337,131.8463746267298","-274.0,280.0"
"-115.57644016639097,118.02954196737846","-274.0,280.0"
"-161.56929889367893,-166.81847546435893","-274.0,280.0"
"-249.78261281314553,254.37234783481836","-274.0,280.0"
"248.04588947931916,247.1533861272037","-274.0,280.0"
"253.39565815292735,251.09086150024086","-274.0,280.0"
"-257.18144877164923,268.35054022673285","-274.0,280.0"
"77.69138081592973,79.06363150163088","-274.0,280.0"
"151.74671659005617,54.316265942848986","-274.0,280.0"
"-260.1266463782795,268.8985195083151","-274.0,280.0"
"222.00915474112844,-274.8486137650907","-274.0,280.0"
"-260.10655794137165,266.52049498978886","-274.0,280.0"
"198.02858572225523,29.115166460658656","-274.0,280.0"
"-242.68598193649086,252.96275735204108","-274.0,280.0"
"-253.85425860803662,255.39065453555668","-274.0,280.0"
"-252.62675157010563,265.4355399509004","-274.0,280.0"
"-229.0650206648279,63.473391954321414","-274.0,280.0"
"-5.2986954636871815,-40.621267914772034","-274.0,280.0"
"177.34316472214414,-99.67923426721245","-274.0,280.0"
"-243.27796296426095,182.79166257940233","-274.0,280.0"
"-224.5970417940989,124.81727780215442","-274.0,280.0"
"200.45888353673217,21.34508574078791","-274.0,280.0"
"-259.0669587197708,257.9373367379012","-274.0,280.0"
"176.7516633052728,29.34793869301211","-274.0,280.0"
"-127.11785627003701,193.76528612352558","-274.0,280.0"
"-107.08583328785608,175.74213584710378","-274.0,280.0"
"-250.55979942181875,259.11031196429394","-274.0,280.0"
"-83.24568310054019,151.52070031431504","-274.0,280.0"
"-35.79589100671001,80.00931876013055","-274.0,280.0"
"-20.56079541049985,143.7417233691267","-274.0,280.0"
"198.02858572225523,29.115166460658656","-274.0,280.0"
"176.59198938242116,40.710618055731175","-274.0,280.0"
"-238.14988565887325,249.14614741364494","-274.0,280.0"
"-257.169592678365,263.4543739658693","-274.0,280.0"
"-250.77475821978442,254.40233346627792","-274.0,280.0"
"-260.10655794137165,266.52049498978886","-274.0,280.0"
"-227.94910606567282,51.33864232688211","-274.0,280.0"
"-232.91744768151693,155.74777571910818","-274.0,280.0"
"250.39296480499252,250.9903932902962","263.5,280.0"
"242.16585862117063,240.11352721508592","263.5,280.0"
"244.92495932907332,233.90962260216475","263.5,280.0"
"242.4595249601989,16.814517483580858","263.5,280.0"
"219.3035842788522,-126.62979034055024","263.5,280.0"
"248.93426263488072,229.8064155932516","263.5,280.0"
"251.00121483561816,11.120862544514239","263.5,280.0"
"252.96294555740315,176.12746148742735","263.5,280.0"
"257.1285824169463,-41.42864973843098","263.5,280.0"
"247.90062490678974,251.9068866292946","263.5,280.0"
"242.015279288913,219.88760281633586","263.5,280.0"
"241.1675149294606,213.24514471925795","263.5,280.0"
"132.79395931214094,21.708264352520928","263.5,280.0"
"239.45173215627437,94.05823235632852","263.5,280.0"
"245.22015972304507,50.518688414245844","263.5,280.0"
"244.92495932907332,233.90962260216475","263.5,280.0"
"239.90273910417454,162.30826029367745","263.5,280.0"
"242.0637012690422,218.41579603031278","263.5,280.0"
"246.6654003023359,246.38388136029243","263.5,280.0"
"225.87852413547807,19.43174578016624","263.5,280.0"
"208.883941315813,-134.77930705156177","263.5,280.0"
"231.24698045814876,193.9023414105177","263.5,280.0"
"235.68392915223376,229.88347862288356","263.5,280.0"
"254.66506132256836,265.49727817531675","263.5,280.0"
"-29.399722597561777,15.781281411647797","263.5,280.0"
"-117.32048530876637,31.916414089500904","263.5,280.0"
"224.74298656056635,227.62804027460515","263.5,280.0"
"-120.0991943422705,41.416029669344425","263.5,280.0"
"261.6885399380676,277.5542384358705","263.5,280.0"
"152.61118647363946,38.897182578741194","263.5,280.0"
