ans,label
"-26.002743,176.17534","-274.0,280.0"
"308.15164,333.18076","263.5,280.0"
"256.3948,263.02634","263.5,280.0"
"-234.71231,-12.86804","-274.0,0.0"
"-126.95573,-111.681244","263.5,0.0"
"-21.194647,-15.03857","263.5,0.0"
"-141.30318,-292.684","-274.0,-317.0"
"-260.41812,-247.28459","-274.0,-317.0"
"-275.4462,-287.1184","-274.0,-317.0"
"-185.24878,-283.711","-274.0,-317.0"
"-143.2056,-300.96613","-274.0,-317.0"
"-249.32977,-295.58435","-274.0,-317.0"
"226.4443,-238.99452","263.5,-317.0"
"184.27223,-221.4148","263.5,-317.0"
"253.00516,-292.73016","263.5,-317.0"
"333.33194,-85.91753","263.5,-317.0"
"236.53867,-116.08118","263.5,-317.0"
"248.0321,-30.958218","263.5,-317.0"
"271.02933,-239.96883","263.5,-317.0"
"264.97336,-244.5439","263.5,-317.0"
"282.21725,-244.65858","263.5,-317.0"
