ans,label
"-119.55912999999998,174.6647688","-274.0,280.0"
"153.212661,134.8295022","263.5,280.0"
"254.73600400000004,114.71603619999999","263.5,280.0"
"-260.138187,3.529582429130001","-274.0,0.0"
"-165.56511790000002,76.82076882999999","263.5,0.0"
"-154.27094400000001,-30.250796700000002","263.5,0.0"
"-193.00819090000002,-212.87624450000004","-274.0,-317.0"
"-222.31635999999997,-276.57213399999995","-274.0,-317.0"
"-239.15595899999994,-276.14333300000004","-274.0,-317.0"
"-209.7025232,-234.13894799999997","-274.0,-317.0"
"-197.95016900000002,-266.08910699999996","-274.0,-317.0"
"-214.2169617,-278.905972","-274.0,-317.0"
"263.036086,-269.83955499999996","263.5,-317.0"
"253.989799,-275.51335300000005","263.5,-317.0"
"267.770089,-282.461453","263.5,-317.0"
"302.48969100000005,-183.3594751","263.5,-317.0"
"249.49663099999998,-206.96680999999998","263.5,-317.0"
"272.287932,-178.7463959","263.5,-317.0"
"266.211384,-284.432875","263.5,-317.0"
"273.25004500000006,-318.929394","263.5,-317.0"
"269.479364,-284.78143","263.5,-317.0"
