ans,label
"-156.1070358830517,-185.33764207192675","-274.0,280.0"
"-52.04613533601099,164.31904928067308","-274.0,280.0"
"-139.40853132592903,209.71482980481514","-274.0,280.0"
"-219.45550037631318,251.13910150600464","-274.0,280.0"
"-260.56721204397815,271.92061137848606","-274.0,280.0"
"17.292595681450443,128.22323318928647","-274.0,280.0"
"-261.19513534355525,270.2903888111404","-274.0,280.0"
"-248.1753635690771,266.02463133058563","-274.0,280.0"
"108.7323986162806,80.3560028747704","-274.0,280.0"
"-233.45469894772054,256.2752426599118","-274.0,280.0"
"-252.76975489203497,265.05044168481714","-274.0,280.0"
"-64.26175978837986,170.4776983900692","-274.0,280.0"
"148.25933644706197,-2.3822400586201526","-274.0,280.0"
"175.39553770045023,-302.9474066018094","-274.0,280.0"
"-141.36928834178883,67.17907494455031","-274.0,280.0"
"-195.71292264625043,182.80133692423308","-274.0,280.0"
"-195.60138968612264,233.76816951976934","-274.0,280.0"
"236.4598057184199,14.034864241331888","-274.0,280.0"
"-168.8820851035764,224.6566633196829","263.5,280.0"
"263.2992944351145,41.56682309550695","263.5,280.0"
"263.485135806752,267.6397101945459","263.5,280.0"
"-114.72705774027054,1.6365534419419419","263.5,280.0"
"263.47260475889,194.4590029571804","263.5,280.0"
"-81.37107036527595,-61.30633941936539","263.5,280.0"
"29.586047907695864,18.005800314247608","263.5,280.0"
"-15.409159828204428,42.374415426701304","263.5,280.0"
"263.49998131328465,277.27615976785467","263.5,280.0"
"263.468855716056,192.699888969097","263.5,280.0"
"263.4827090966498,175.21393124010095","263.5,280.0"
"263.26227704881734,49.318590618288376","263.5,280.0"
"263.49988713844425,276.5850961035165","263.5,280.0"
"118.44161926492953,-113.959555265565","263.5,280.0"
"263.45150978746653,103.79649850267624","263.5,280.0"
"263.4740313008888,173.130970928877","263.5,280.0"
"263.458628956823,-140.8113010441474","263.5,280.0"
"263.46355070939416,192.69061112411322","263.5,280.0"
"263.4999966631693,279.4774102856044","263.5,280.0"
"263.4758086143387,165.91557513726872","263.5,280.0"
"263.4139716916808,-134.11885661373998","263.5,280.0"
"263.05618312893205,134.3979163632926","263.5,280.0"
"263.4989011326552,270.508546498391","263.5,280.0"
"195.28695600645557,-35.07538953726989","263.5,280.0"
"164.3903779210375,-82.40110529713638","263.5,280.0"
"263.42876876716866,-114.31399130123755","263.5,280.0"
"263.4784913398447,144.1622747590333","263.5,280.0"
"263.4378183629359,124.55816381540828","263.5,280.0"
"263.3821110763773,19.911345212625257","263.5,280.0"
"263.49055236257055,229.37535114132984","263.5,280.0"
"-273.08118294195117,5.909570593528912e-09","-274.0,0.0"
"-273.913497459203,1.1924889149321294e-11","-274.0,0.0"
"-273.9811258619477,3.1905016763313807e-12","-274.0,0.0"
"-273.9829924997334,1.3114417624236136e-11","-274.0,0.0"
"-273.98465195129984,1.408850790830943e-12","-274.0,0.0"
"-273.8449585073632,5.72023230509318e-10","-274.0,0.0"
