ans,label
"246.03958,45.03581","-274.0,280.0"
"-231.1963,255.82426","-274.0,280.0"
"-178.55122,286.77695","-274.0,280.0"
"-222.45201,271.38583","-274.0,280.0"
"-308.2378,318.29935","-274.0,280.0"
"-63.320557,235.56427","-274.0,280.0"
"-199.69691,252.48691","-274.0,280.0"
"-4.623019,166.5691","-274.0,280.0"
"-32.40229,243.9606","-274.0,280.0"
"-267.9204,275.80264","-274.0,280.0"
"-161.93399,253.65637","-274.0,280.0"
"228.61131,183.81802","263.5,280.0"
"268.09232,179.11412","263.5,280.0"
"269.6078,276.6063","263.5,280.0"
"266.13965,284.26093","263.5,280.0"
"278.99554,286.43478","263.5,280.0"
"271.48752,262.97717","263.5,280.0"
"256.7336,271.4302","263.5,280.0"
"278.67734,92.3537","263.5,280.0"
"263.97272,190.58784","263.5,280.0"
"273.05167,152.22711","263.5,280.0"
"281.68945,254.0593","263.5,280.0"
"258.5822,160.90584","263.5,280.0"
"266.17688,258.9519","263.5,280.0"
"338.60452,223.1098","263.5,280.0"
"283.66013,258.9379","263.5,280.0"
"268.18637,182.54453","263.5,280.0"
"283.8382,236.36987","263.5,280.0"
"-289.3812,-1.7921097","-274.0,0.0"
"-289.38254,-1.7297051","-274.0,0.0"
"-289.34662,-1.710294","-274.0,0.0"
"-289.18253,-1.5974629","-274.0,0.0"
"-289.2184,-1.620786","-274.0,0.0"
"-289.16846,-1.5254319","-274.0,0.0"
"-288.94577,-1.4744351","-274.0,0.0"
"-288.982,-1.5939152","-274.0,0.0"
"-288.44955,-1.6648324","-274.0,0.0"
"-270.31253,-23.247343","-274.0,0.0"
"-230.33403,30.10706","263.5,0.0"
"-223.15207,-163.67003","263.5,0.0"
"-215.9588,-114.76378","263.5,0.0"
"-298.59296,-128.79706","263.5,0.0"
"-191.17905,-126.11215","263.5,0.0"
"-160.34824,-36.35603","263.5,0.0"
"-142.29224,-182.5707","263.5,0.0"
"-210.06905,78.74028","263.5,0.0"
"-185.4065,-72.12856","263.5,0.0"
"-260.5898,-316.43393","263.5,0.0"
"-209.97743,-292.82913","263.5,0.0"
"-185.18216,-68.72479","263.5,0.0"
"-235.45256,132.58093","263.5,0.0"
"-152.18666,110.90614","263.5,0.0"
"-281.88235,-314.5035","-274.0,-317.0"
"-282.09225,-331.22705","-274.0,-317.0"
"-259.03802,-321.29266","-274.0,-317.0"
"-172.74007,-265.9313","-274.0,-317.0"
"-242.78888,-308.1114","-274.0,-317.0"
"-292.31458,-344.3864","-274.0,-317.0"
"-267.48132,-304.26212","-274.0,-317.0"
