ans,label
"162.71309,63.411663","-274.0,280.0"
"-266.9804,310.9418","-274.0,280.0"
"-370.37552,419.44815","-274.0,280.0"
"-241.06778,274.86566","-274.0,280.0"
"-306.13818,286.71222","-274.0,280.0"
"-101.8988,383.2032","-274.0,280.0"
"-239.1923,253.73357","-274.0,280.0"
"5.9110913,78.13264","-274.0,280.0"
"-63.102367,231.42339","-274.0,280.0"
"-365.54495,270.95786","-274.0,280.0"
"-200.2926,278.14914","-274.0,280.0"
"216.68538,199.75102","263.5,280.0"
"145.82104,181.22845","263.5,280.0"
"186.4299,165.6379","263.5,280.0"
"281.72498,326.8457","263.5,280.0"
"247.31726,246.92946","263.5,280.0"
"264.6797,241.08586","263.5,280.0"
"243.4556,257.89377","263.5,280.0"
"108.41276,74.166336","263.5,280.0"
"265.28848,206.86264","263.5,280.0"
"291.85666,184.30862","263.5,280.0"
"281.6021,258.8356","263.5,280.0"
"267.7672,200.90257","263.5,280.0"
"245.69385,232.06494","263.5,280.0"
"358.01126,254.88115","263.5,280.0"
"244.79535,224.6613","263.5,280.0"
"238.60646,196.09138","263.5,280.0"
"261.71274,256.5054","263.5,280.0"
"-273.0484,-7.5638237","-274.0,0.0"
"-282.30743,14.592159","-274.0,0.0"
"-266.7906,-4.565174","-274.0,0.0"
"-245.93105,-45.889404","-274.0,0.0"
"-258.33136,-38.492878","-274.0,0.0"
"-282.12704,-14.809757","-274.0,0.0"
"-265.58673,-47.210297","-274.0,0.0"
"-252.52249,-69.21501","-274.0,0.0"
"-273.06195,11.032078","-274.0,0.0"
"56.076756,-233.26666","-274.0,0.0"
"-236.39575,92.98382","263.5,0.0"
"-225.4776,-148.4005","263.5,0.0"
"-350.95566,-89.807625","263.5,0.0"
"-153.09283,-231.10265","263.5,0.0"
"-196.47574,-78.67033","263.5,0.0"
"-207.98927,42.760563","263.5,0.0"
"-66.87742,-200.76163","263.5,0.0"
"-121.108925,173.70915","263.5,0.0"
"-158.24323,-20.9912","263.5,0.0"
"-209.25049,-309.96805","263.5,0.0"
"-404.15024,-213.35806","263.5,0.0"
"-278.89264,-33.650078","263.5,0.0"
"-239.23679,119.750206","263.5,0.0"
"-34.28213,199.1976","263.5,0.0"
"-200.00381,-298.0134","-274.0,-317.0"
"-263.40656,-307.963","-274.0,-317.0"
"-241.99742,-287.3992","-274.0,-317.0"
"-146.36981,-257.89563","-274.0,-317.0"
"-190.42836,-267.52164","-274.0,-317.0"
"-238.25766,-301.10623","-274.0,-317.0"
"-210.97159,-272.13638","-274.0,-317.0"
"-193.9754,-284.37054","-274.0,-317.0"
"-232.10193,-300.38214","-274.0,-317.0"
"15.667821,-203.51584","-274.0,-317.0"
"-208.20517,-273.43265","-274.0,-317.0"
"-231.53491,-299.45572","-274.0,-317.0"
"-157.72983,-262.79333","-274.0,-317.0"
"-236.14716,-312.42392","-274.0,-317.0"
"-213.70615,-257.76584","-274.0,-317.0"
"-233.86133,-334.35706","-274.0,-317.0"
"-339.9316,-280.48184","-274.0,-317.0"
"-191.74173,-304.79428","-274.0,-317.0"
"-270.19464,-289.4454","-274.0,-317.0"
"-244.08617,-289.311","-274.0,-317.0"
"-232.46597,-302.2811","-274.0,-317.0"
"-153.59764,-282.92566","-274.0,-317.0"
"-224.03166,-264.7213","-274.0,-317.0"
"-236.116,-312.7676","-274.0,-317.0"
"-151.72983,-278.64575","-274.0,-317.0"
"-203.90038,-256.66772","-274.0,-317.0"
"-119.95464,-237.99007","-274.0,-317.0"
"-242.90414,-358.5322","-274.0,-317.0"
"-48.986965,-222.39818","-274.0,-317.0"
"-216.92468,-255.66441","-274.0,-317.0"
"-197.30908,-266.5376","-274.0,-317.0"
"-222.99045,-307.65558","-274.0,-317.0"
"-192.48651,-284.1845","-274.0,-317.0"
"-261.9212,-312.40335","-274.0,-317.0"
"-136.38834,-340.1708","-274.0,-317.0"
"-115.300804,-282.75098","-274.0,-317.0"
"-214.82991,-268.65192","-274.0,-317.0"
"-237.93571,-308.7806","-274.0,-317.0"
"54.641544,-229.07632","0.0,-317.0"
"61.30097,-285.27466","0.0,-317.0"
"5.5416913,-346.8695","0.0,-317.0"
"18.76572,-322.4613","0.0,-317.0"
"-27.97488,-322.19733","0.0,-317.0"
"52.138645,-144.38904","0.0,-317.0"
"65.07111,-197.73611","0.0,-317.0"
"126.50321,-25.532848","0.0,-317.0"
"15.912847,-315.8997","0.0,-317.0"
"23.893223,-328.53128","0.0,-317.0"
"20.01392,-296.62045","0.0,-317.0"
"51.606724,-273.60272","0.0,-317.0"
"53.531498,-262.94193","0.0,-317.0"
"7.3346906,-272.73053","0.0,-317.0"
"87.25852,-103.7426","0.0,-317.0"
"-15.784572,-364.9036","0.0,-317.0"
"33.199467,-332.56628","0.0,-317.0"
"-23.126247,-390.28238","0.0,-317.0"
"47.58478,-242.5594","0.0,-317.0"
"56.180637,17.640972","0.0,-317.0"
"48.550877,-253.99155","0.0,-317.0"
"168.59174,82.39691","0.0,-317.0"
"56.994938,-269.511","0.0,-317.0"
"45.5264,-276.8424","0.0,-317.0"
"31.303654,-342.4327","0.0,-317.0"
"288.9669,298.85416","0.0,-317.0"
"110.261604,76.802444","0.0,-317.0"
"-3.2160907,-328.97543","0.0,-317.0"
"87.090034,-172.83421","0.0,-317.0"
"214.57431,155.6512","0.0,-317.0"
"139.50981,25.09577","0.0,-317.0"
"316.14795,192.62059","0.0,-317.0"
"36.93555,-285.05264","0.0,-317.0"
"44.47727,-246.76741","0.0,-317.0"
"64.94758,-213.14511","0.0,-317.0"
"99.641914,-212.81102","0.0,-317.0"
"41.125248,-263.52176","0.0,-317.0"
"18.9614,-259.76965","0.0,-317.0"
"0.28644228,-264.74405","0.0,-317.0"
"4.8279767,-310.367","0.0,-317.0"
"-22.851498,-290.1664","0.0,-317.0"
"19.056858,-299.55963","0.0,-317.0"
"18.660435,-331.9277","0.0,-317.0"
"88.53416,-271.31036","0.0,-317.0"
"50.346012,-314.87894","0.0,-317.0"
"42.492344,-237.78127","0.0,-317.0"
"16.71024,-341.19006","0.0,-317.0"
"13.701055,-338.78995","0.0,-317.0"
"49.382206,-268.63132","0.0,-317.0"
"40.467197,-304.96155","0.0,-317.0"
"172.83224,-36.443733","0.0,-317.0"
"30.552464,-293.94327","0.0,-317.0"
"33.994083,-316.0665","0.0,-317.0"
"36.973484,-280.9195","0.0,-317.0"
"398.53897,322.0366","0.0,-317.0"
"221.17224,91.61258","0.0,-317.0"
"188.23016,-216.13647","263.5,-317.0"
"36.45972,-161.20541","263.5,-317.0"
"284.311,-316.65985","263.5,-317.0"
"207.2579,-243.36873","263.5,-317.0"
"288.72504,-145.19554","263.5,-317.0"
"242.2161,-336.41977","263.5,-317.0"
"239.64902,-337.40073","263.5,-317.0"
"244.90817,-336.11508","263.5,-317.0"
"258.97397,-340.91013","263.5,-317.0"
"256.27316,-297.61133","263.5,-317.0"
"235.27365,-312.34418","263.5,-317.0"
