ans,label
"36.49630964640528,112.46782520283887","-274.0,280.0"
"237.23143515345146,8.1159334089607","-274.0,280.0"
"237.23143515345146,8.1159334089607","-274.0,280.0"
"102.17711391675493,49.68550814724222","-274.0,280.0"
"256.63184282430484,2.275552787820743","-274.0,280.0"
"258.7693308057013,1.4030101962243862","-274.0,280.0"
"203.3769966107934,29.20729684006983","-274.0,280.0"
"203.3769966107934,29.20729684006983","-274.0,280.0"
"115.5073268769579,73.93611027289444","-274.0,280.0"
"241.93493949868366,9.772542591401361","-274.0,280.0"
"-234.45383974419383,245.50776364584453","-274.0,280.0"
"258.0102250197616,2.0225523018330023","-274.0,280.0"
"-261.74591118628837,269.08097586105214","-274.0,280.0"
"-239.67211908985655,259.03490605195475","-274.0,280.0"
"-246.03822933242873,262.3973808598421","-274.0,280.0"
"-216.03319279462448,244.42086883132288","-274.0,280.0"
"-246.03822933242873,262.3973808598421","-274.0,280.0"
"-246.03822933242873,262.3973808598421","-274.0,280.0"
"-246.03822933242873,262.3973808598421","-274.0,280.0"
"-248.62886484655974,262.91021115746844","-274.0,280.0"
"-243.6403035857693,257.04971017490607","-274.0,280.0"
"-243.6403035857693,257.04971017490607","-274.0,280.0"
"226.73074336967056,16.625630579063","-274.0,280.0"
"261.81494132569014,-219.5266677387408","-274.0,280.0"
"-260.3460987616736,262.30976944201393","-274.0,280.0"
"-254.4346240939858,267.0543900049943","-274.0,280.0"
"-260.3460987616736,262.30976944201393","-274.0,280.0"
"-255.19830064908092,253.33180682512466","-274.0,280.0"
"-255.56845298530698,254.02482747032627","-274.0,280.0"
"-261.6297468770356,265.29862713218245","-274.0,280.0"
"-56.43710537250445,152.62703615782084","-274.0,280.0"
"-251.0421560166551,265.2458800995191","-274.0,280.0"
"-56.43705106151174,152.62700159783708","-274.0,280.0"
"-251.0421579798831,265.2458800995191","-274.0,280.0"
"-240.78967300419845,259.6679923227639","-274.0,280.0"
"-251.0421579798831,265.2458800995191","-274.0,280.0"
"-255.1380575850344,266.9362198021772","-274.0,280.0"
"-261.90696598745853,266.1914637192567","-274.0,280.0"
"-262.82686336015945,268.0336655123756","-274.0,280.0"
"-262.82686336015945,268.0336655123756","-274.0,280.0"
"-259.51928834266664,261.90253423223476","-274.0,280.0"
"-261.69297458658184,267.02872800936166","-274.0,280.0"
