ans,label
"243.00456,64.848656","-274.0,280.0"
"-166.6063,359.59088","-274.0,280.0"
"-178.96716,289.69553","-274.0,280.0"
"-250.03983,300.58926","-274.0,280.0"
"-277.7168,316.35706","-274.0,280.0"
"-164.7202,222.79509","-274.0,280.0"
"-127.617065,338.89062","-274.0,280.0"
"92.807465,1.4378574","-274.0,280.0"
"48.660156,216.50418","-274.0,280.0"
"-235.45514,208.47437","-274.0,280.0"
"-130.54955,262.48398","-274.0,280.0"
"283.13358,232.64386","263.5,280.0"
"180.88445,157.24321","263.5,280.0"
"285.8208,139.56078","263.5,280.0"
"237.56409,258.74045","263.5,280.0"
"255.01974,251.09392","263.5,280.0"
"258.88016,248.87862","263.5,280.0"
"282.6389,203.30856","263.5,280.0"
"280.23447,185.36685","263.5,280.0"
"274.7968,240.49484","263.5,280.0"
"315.71136,205.06001","263.5,280.0"
"271.81186,239.65616","263.5,280.0"
"304.5146,227.83218","263.5,280.0"
"255.28233,244.79076","263.5,280.0"
"319.95297,199.23108","263.5,280.0"
"282.26437,241.70465","263.5,280.0"
"275.2046,229.10745","263.5,280.0"
"307.5557,203.11487","263.5,280.0"
"-259.09906,17.410099","-274.0,0.0"
"-259.08652,17.445993","-274.0,0.0"
"-259.10495,17.40419","-274.0,0.0"
"-259.0627,17.463932","-274.0,0.0"
"-259.0825,17.430006","-274.0,0.0"
"-259.07916,17.45519","-274.0,0.0"
"-259.04657,17.48779","-274.0,0.0"
"-259.04858,17.465162","-274.0,0.0"
"-259.00528,17.503428","-274.0,0.0"
"-260.97675,-8.112367","-274.0,0.0"
"-208.62439,55.075584","263.5,0.0"
"-181.35074,-89.25261","263.5,0.0"
"-203.80267,-157.00845","263.5,0.0"
"-296.02994,-173.56804","263.5,0.0"
"-210.69835,-99.084816","263.5,0.0"
"-75.30406,10.424626","263.5,0.0"
"-222.30125,-308.65585","263.5,0.0"
"-198.61932,131.3619","263.5,0.0"
"-123.31073,59.30303","263.5,0.0"
"-231.33406,-293.61496","263.5,0.0"
"-253.56583,-282.2019","263.5,0.0"
"-183.23106,-115.59607","263.5,0.0"
"-202.09373,157.8551","263.5,0.0"
"-262.41998,182.19647","263.5,0.0"
"-244.71928,-298.86987","-274.0,-317.0"
"-275.202,-337.08575","-274.0,-317.0"
"-270.3041,-328.70923","-274.0,-317.0"
"-22.035881,-225.36185","-274.0,-317.0"
"-212.71791,-289.03745","-274.0,-317.0"
"-262.9418,-325.28857","-274.0,-317.0"
"-238.42607,-297.7999","-274.0,-317.0"
"-240.34775,-309.81165","-274.0,-317.0"
"-259.88828,-324.4668","-274.0,-317.0"
"-138.12372,-171.83693","-274.0,-317.0"
