ans,label
"-5.131424725209854,136.22552285283018","-274.0,280.0"
"247.35774618783603,6.574823751212534","-274.0,280.0"
"247.35774618783603,6.574823751212534","-274.0,280.0"
"-212.41182903696608,96.38374763703905","-274.0,280.0"
"258.78946190255346,2.155581758205358","-274.0,280.0"
"259.95235913231414,1.5748450470656508","-274.0,280.0"
"226.83485346469217,18.480270441237735","-274.0,280.0"
"226.83485346469217,18.480270441237735","-274.0,280.0"
"110.52317354236766,78.18337861525288","-274.0,280.0"
"252.31639765371085,5.4909522377656685","-274.0,280.0"
"-243.1630994277857,254.598236921418","-274.0,280.0"
"259.84766957149674,1.7624176002867102","-274.0,280.0"
"-261.5206120865612,268.4089555170358","-274.0,280.0"
"-255.22628766960486,267.5417214814315","-274.0,280.0"
"-257.16939878778066,268.2595553309802","-274.0,280.0"
"-246.6496294584549,261.702886370309","-274.0,280.0"
"-257.16939878778066,268.2595553309802","-274.0,280.0"
"-257.16939878778066,268.2595553309802","-274.0,280.0"
"-257.16939878778066,268.2595553309802","-274.0,280.0"
"-256.39748789816076,267.1203718551624","-274.0,280.0"
"-250.9740075889731,262.2469662087242","-274.0,280.0"
"-250.9740075889731,262.2469662087242","-274.0,280.0"
"232.00036391308424,15.145418930062078","-274.0,280.0"
"261.3370903273119,-197.64985828089993","-274.0,280.0"
"-258.4387007646278,263.1792499222138","-274.0,280.0"
"-256.7822209999337,267.9673432338359","-274.0,280.0"
"-258.4387007646278,263.1792499222138","-274.0,280.0"
"-254.67798371752633,259.06580660470354","-274.0,280.0"
"-259.3436208661285,263.47235351058407","-274.0,280.0"
"-261.78107087632543,267.68464778872294","-274.0,280.0"
"-132.00573073625492,198.7492718368303","-274.0,280.0"
"-256.99188387750416,268.05437013522715","-274.0,280.0"
"-132.00568340602877,198.74923791791662","-274.0,280.0"
"-256.9918875575089,268.0543714637588","-274.0,280.0"
"-253.41386833613103,266.39629069818875","-274.0,280.0"
"-256.9918875575089,268.0543714637588","-274.0,280.0"
"-258.36685338356665,268.41041229774055","-274.0,280.0"
