ans,label
"-291.39908,24.812296","-274.0,280.0"
"-301.5177,268.0199","-274.0,280.0"
"-278.71442,232.29037","-274.0,280.0"
"-271.53302,275.49988","-274.0,280.0"
"-281.57593,292.1853","-274.0,280.0"
"-218.39969,202.1656","-274.0,280.0"
"-210.66121,240.11063","-274.0,280.0"
"-278.6452,151.11615","-274.0,280.0"
"-229.68141,203.79846","-274.0,280.0"
"-232.07721,199.41199","-274.0,280.0"
"-282.76917,181.17767","-274.0,280.0"
"-40.169136,225.71124","0.0,280.0"
"-64.5525,200.82977","0.0,280.0"
"4.20632,249.3024","0.0,280.0"
"3.3959105,307.93808","0.0,280.0"
"-23.649958,249.79129","0.0,280.0"
"-19.46087,233.63274","0.0,280.0"
"-2.5563753,259.95435","0.0,280.0"
"-41.48886,147.89708","0.0,280.0"
"-72.530106,156.1835","0.0,280.0"
"-197.58893,-66.69834","0.0,280.0"
"-9.232996,223.86987","0.0,280.0"
"-118.93406,46.552746","0.0,280.0"
"-60.65999,162.0875","0.0,280.0"
"-75.101036,161.57014","0.0,280.0"
"-15.309237,184.78262","0.0,280.0"
"-72.7126,148.28337","0.0,280.0"
"38.997513,167.5802","0.0,280.0"
"263.35776,281.3777","263.5,280.0"
"263.91138,282.20074","263.5,280.0"
"263.94135,282.15067","263.5,280.0"
"261.31512,280.83124","263.5,280.0"
"262.18753,281.97336","263.5,280.0"
"263.25064,281.60043","263.5,280.0"
"261.99258,281.22803","263.5,280.0"
"261.9359,283.0543","263.5,280.0"
"262.4664,281.62323","263.5,280.0"
"270.71005,279.14474","263.5,280.0"
"-144.97978,177.76424","-274.0,0.0"
"1.8234769,135.81384","-274.0,0.0"
"15.807463,148.86678","-274.0,0.0"
"138.61543,127.77117","-274.0,0.0"
"-1.4559191,151.78691","-274.0,0.0"
"50.991135,149.39124","-274.0,0.0"
"169.38852,65.60087","-274.0,0.0"
"-101.91777,169.48792","-274.0,0.0"
"-3.8799226,227.79971","-274.0,0.0"
"238.03087,-4.3227634","-274.0,0.0"
"47.701077,102.65639","-274.0,0.0"
"9.123632,135.18283","-274.0,0.0"
"-150.93152,212.2851","-274.0,0.0"
"-219.97809,233.21213","-274.0,0.0"
"262.07242,10.168585","263.5,0.0"
"267.47348,-2.6747074","263.5,0.0"
"246.0017,8.149786","263.5,0.0"
"39.636505,-10.727995","263.5,0.0"
"238.03775,11.908262","263.5,0.0"
"305.35013,-17.218714","263.5,0.0"
"263.46472,-0.40748036","263.5,0.0"
"297.98227,-10.223597","263.5,0.0"
"284.86444,1.3167781","263.5,0.0"
"67.38972,4.9585056","263.5,0.0"
"216.85074,-4.9282475","263.5,0.0"
"281.8728,-13.882578","263.5,0.0"
"236.43594,-5.445528","263.5,0.0"
"236.47368,-13.290628","263.5,0.0"
"225.5922,-7.4900913","263.5,0.0"
"234.27467,12.915602","263.5,0.0"
"110.58831,-20.122355","263.5,0.0"
"212.02188,-0.09269917","263.5,0.0"
"216.13164,20.031286","263.5,0.0"
"158.36708,51.94743","263.5,0.0"
"269.912,-1.6996709","263.5,0.0"
"157.76743,22.99433","263.5,0.0"
"205.99323,-0.4761144","263.5,0.0"
"304.3638,-11.057154","263.5,0.0"
"265.6471,-9.402018","263.5,0.0"
"223.75282,4.509062","263.5,0.0"
"159.65654,-16.63878","263.5,0.0"
"226.3967,7.358412","263.5,0.0"
"119.61394,-18.374033","263.5,0.0"
"235.70428,30.29099","263.5,0.0"
"247.5201,6.0281734","263.5,0.0"
"247.85706,8.185812","263.5,0.0"
"244.15009,-22.80858","263.5,0.0"
"277.2483,-0.5635015","263.5,0.0"
"263.86365,3.3799496","263.5,0.0"
"182.59625,-37.753773","263.5,0.0"
"244.62512,-3.161066","263.5,0.0"
"197.293,37.94147","263.5,0.0"
"-255.91637,-290.04474","-274.0,-317.0"
"-306.70923,-361.6596","-274.0,-317.0"
"-337.4078,-404.41205","-274.0,-317.0"
"-303.3714,-313.87976","-274.0,-317.0"
"-319.89142,-356.2458","-274.0,-317.0"
"-280.4273,-292.9312","-274.0,-317.0"
"-228.72433,-79.99452","-274.0,-317.0"
"-194.8331,-152.01807","-274.0,-317.0"
"-267.70676,-269.11163","-274.0,-317.0"
"-284.15918,-325.39438","-274.0,-317.0"
"-289.81302,-320.59393","-274.0,-317.0"
"-256.69153,-296.85413","-274.0,-317.0"
"-296.58554,-345.47946","-274.0,-317.0"
"-293.4821,-331.98428","-274.0,-317.0"
"-327.21637,-207.35457","-274.0,-317.0"
"-223.16681,-66.25348","-274.0,-317.0"
"-302.73596,-387.55148","-274.0,-317.0"
"-295.63647,-336.56522","-274.0,-317.0"
"-282.4645,-322.60526","-274.0,-317.0"
"-87.93255,18.97382","-274.0,-317.0"
"-291.08707,-290.41415","-274.0,-317.0"
"-303.02252,-222.39107","-274.0,-317.0"
"-238.6556,-266.5984","-274.0,-317.0"
"-291.25867,-341.55008","-274.0,-317.0"
"-318.01767,-342.70502","-274.0,-317.0"
"-33.436653,189.40518","-274.0,-317.0"
"-162.73055,-7.061039","-274.0,-317.0"
"-114.70853,-95.71806","-274.0,-317.0"
"-290.85553,-314.12823","-274.0,-317.0"
"-269.69586,-308.00305","-274.0,-317.0"
"-196.41396,-132.0935","-274.0,-317.0"
"-186.56158,-69.60604","-274.0,-317.0"
"-167.84772,-128.37178","-274.0,-317.0"
"-271.7804,-298.22412","-274.0,-317.0"
"-245.1812,-257.74963","-274.0,-317.0"
"-308.5195,-296.79462","-274.0,-317.0"
"-318.64203,-381.3748","-274.0,-317.0"
"-283.30963,-323.98386","-274.0,-317.0"
"-281.23364,-317.45132","-274.0,-317.0"
"-296.69604,-346.2218","-274.0,-317.0"
"-343.8648,-389.21964","-274.0,-317.0"
"-266.57956,-275.81918","-274.0,-317.0"
"-306.87292,-345.6411","-274.0,-317.0"
"-262.9482,-225.37065","-274.0,-317.0"
"-297.05325,-347.94034","-274.0,-317.0"
"-265.9149,-284.7895","-274.0,-317.0"
"-329.42615,-331.29282","-274.0,-317.0"
"-302.48926,-347.7431","-274.0,-317.0"
"-280.58652,-323.85873","-274.0,-317.0"
"-287.95303,-338.45392","-274.0,-317.0"
"-263.62772,-257.72833","-274.0,-317.0"
"-191.10625,-105.79447","-274.0,-317.0"
"-301.74664,-355.09848","-274.0,-317.0"
"-309.02744,-322.7133","-274.0,-317.0"
"-246.50243,-66.80695","-274.0,-317.0"
