ans,label
"-262.0840148925781,198.00454711914062","-274.0,280.0"
"-260.82940673828125,5.630260944366455","-274.0,280.0"
"-260.82940673828125,5.630260944366455","-274.0,280.0"
"-273.0939636230469,14.347810745239258","-274.0,280.0"
"-271.57440185546875,3.212899684906006","-274.0,280.0"
"-270.053955078125,4.4302215576171875","-274.0,280.0"
"-270.7319030761719,73.26063537597656","-274.0,280.0"
"-270.7319030761719,73.26063537597656","-274.0,280.0"
"-272.2523498535156,192.95033264160156","-274.0,280.0"
"-270.7319030761719,18.446304321289062","-274.0,280.0"
"-271.00360107421875,269.6480407714844","-274.0,280.0"
"-273.3061828613281,4.676563739776611","-274.0,280.0"
"-270.6496887207031,276.5594787597656","-274.0,280.0"
"-271.642822265625,274.1578674316406","-274.0,280.0"
"-271.0072021484375,274.1578674316406","-274.0,280.0"
"-275.9128723144531,274.92413330078125","-274.0,280.0"
"-271.0072021484375,274.1578674316406","-274.0,280.0"
"-271.0072021484375,274.1578674316406","-274.0,280.0"
"-271.0072021484375,274.1578674316406","-274.0,280.0"
"-264.1087951660156,272.9405212402344","-274.0,280.0"
"-254.2537384033203,273.0604553222656","-274.0,280.0"
"-254.2537384033203,273.0604553222656","-274.0,280.0"
"-271.4679870605469,29.19485092163086","-274.0,280.0"
"-243.74317932128906,-256.20745849609375","-274.0,280.0"
"-270.5812683105469,269.5625915527344","-274.0,280.0"
"-270.053955078125,266.11712646484375","-274.0,280.0"
"-270.5812683105469,269.5625915527344","-274.0,280.0"
"-267.91583251953125,264.50714111328125","-274.0,280.0"
"-279.43463134765625,271.3547058105469","-274.0,280.0"
"-272.06536865234375,266.6058654785156","-274.0,280.0"
"-248.35391235351562,205.85313415527344","-274.0,280.0"
"-266.5798645019531,259.2655029296875","-274.0,280.0"
"-248.35391235351562,205.85313415527344","-274.0,280.0"
"-266.5798645019531,259.2655029296875","-274.0,280.0"
"-267.2154846191406,259.2655029296875","-274.0,280.0"
"-266.5798645019531,259.2655029296875","-274.0,280.0"
"-264.34613037109375,258.04815673828125","-274.0,280.0"
"-265.58673095703125,266.32989501953125","-274.0,280.0"
"-266.22235107421875,266.32989501953125","-274.0,280.0"
"-266.22235107421875,266.32989501953125","-274.0,280.0"
"-263.3529968261719,262.7109375","-274.0,280.0"
"-268.0722961425781,267.3108825683594","-274.0,280.0"
"-263.3529968261719,262.7109375","-274.0,280.0"
"-264.34613037109375,258.04815673828125","-274.0,280.0"
"-268.0722961425781,267.3108825683594","-274.0,280.0"
"-265.58673095703125,266.32989501953125","-274.0,280.0"
"-263.3529968261719,262.7109375","-274.0,280.0"
"-263.11566162109375,272.9405212402344","-274.0,280.0"
"-274.42242431640625,262.3708801269531","-274.0,280.0"
"-275.1478576660156,261.389892578125","-274.0,280.0"
"-276.10699462890625,249.9699249267578","-274.0,280.0"
"-276.0592041015625,255.71177673339844","-274.0,280.0"
"-268.982421875,80.19832611083984","-274.0,280.0"
"-271.642822265625,274.1578674316406","-274.0,280.0"
"-268.0722961425781,267.3108825683594","-274.0,280.0"
"-271.6267395019531,269.62274169921875","-274.0,280.0"
"-267.91583251953125,264.50714111328125","-274.0,280.0"
"-247.16287231445312,263.48382568359375","-274.0,280.0"
"-268.7197265625,274.0927429199219","-274.0,280.0"
"90.3705825805664,-74.38668823242188","-274.0,280.0"
"-82.45745849609375,128.73828125","-274.0,280.0"
"-270.5812683105469,269.5625915527344","-274.0,280.0"
"-275.1478576660156,257.77093505859375","-274.0,280.0"
"-276.776611328125,258.98828125","-274.0,280.0"
"-274.42242431640625,262.3708801269531","-274.0,280.0"
"33.69395446777344,37.831581115722656","-274.0,280.0"
"-279.02471923828125,249.3878936767578","-274.0,280.0"
"-276.776611328125,258.98828125","-274.0,280.0"
"-273.0585021972656,259.5414733886719","-274.0,280.0"
"-275.619873046875,24.02395248413086","-274.0,280.0"
"-273.0585021972656,4.4302215576171875","-274.0,280.0"
"-270.053955078125,71.04487609863281","-274.0,280.0"
"-273.0585021972656,19.06039810180664","-274.0,280.0"
"-279.43463134765625,271.3547058105469","-274.0,280.0"
"-268.9089660644531,265.68206787109375","-274.0,280.0"
"-256.82379150390625,303.6761169433594","-274.0,280.0"
"-270.7319030761719,73.26063537597656","-274.0,280.0"
"-247.38861083984375,258.8323669433594","-274.0,280.0"
"172.50343322753906,23.920713424682617","-274.0,280.0"
"-265.51690673828125,257.3999938964844","-274.0,280.0"
"-11.293142318725586,270.9566650390625","-274.0,280.0"
"-17.546926498413086,246.16285705566406","-274.0,280.0"
"-273.0585021972656,259.5414733886719","-274.0,280.0"
"-265.94757080078125,252.94580078125","-274.0,280.0"
"-269.6180419921875,28.213851928710938","-274.0,280.0"
